ema_rapida,ema_lenta,rsi_periodo,rsi_umbral,stop_loss_pct,take_profit_pct,usar_ema50,cruce_ventana,precio_minimo,sin_trades,sin_win_rate,sin_pnl,sin_pf,sin_rentables,sin_top,pdt_trades,pdt_win_rate,pdt_pnl,pdt_pf,pdt_rentables,pdt_top,impacto_pdt_pct,bloqueados,score
2,7,5,55,0.011,0.005,False,3,10,302396,68.1,2254.82,1.07,343,"STX(71.0%), WDC(69.7%), TER(70.2%), KLAC(71.8%), MU(67.7%), LRCX(69.1%), JBL(71.8%), MPWR(70.3%), AMD(67.7%), PWR(71.5%)",86070,68.2,508.52,1.08,306,"NDSN(72.3%), KHC(78.1%), EOG(77.7%), XOM(75.6%), WHR(78.1%), L(75.2%), FSLR(75.5%), SBUX(72.5%), URI(70.3%), TXT(73.2%)",71.5,1969376,69.38
2,8,5,55,0.011,0.005,False,3,10,295315,68.1,2247.81,1.07,347,"WDC(70.5%), TER(70.4%), STX(71.1%), KLAC(71.8%), MU(67.1%), AMD(67.8%), PWR(71.8%), JBL(71.8%), LRCX(69.0%), GLW(69.8%)",86407,68.2,482.89,1.08,307,"TFX(71.6%), CRL(77.8%), NDSN(72.2%), EOG(75.8%), NUE(75.6%), L(74.5%), WDC(74.8%), WHR(75.8%), HAL(75.9%), TRGP(74.9%)",70.7,1798674,69.37518072289157
2,7,5,55,0.011,0.005,False,3,20,293926,68.1,2233.35,1.07,335,"STX(71.0%), WDC(69.7%), TER(70.2%), KLAC(71.8%), MU(67.7%), LRCX(69.1%), JBL(71.8%), MPWR(70.3%), AMD(67.7%), PWR(71.5%)",83890,68.2,509.79,1.08,299,"NDSN(72.3%), KHC(78.1%), EOG(77.7%), XOM(75.6%), WHR(78.1%), L(75.2%), FSLR(75.5%), SBUX(72.5%), URI(70.3%), TXT(73.2%)",71.5,1911894,69.3655421686747
2,8,5,55,0.011,0.005,False,3,20,286983,68.1,2223.85,1.07,339,"WDC(70.5%), TER(70.4%), STX(71.1%), KLAC(71.8%), MU(67.1%), AMD(67.8%), PWR(71.8%), JBL(71.8%), LRCX(69.0%), GLW(69.8%)",84249,68.2,485.15,1.08,302,"TFX(71.6%), CRL(77.8%), NDSN(72.2%), EOG(75.8%), NUE(75.6%), L(74.5%), WDC(74.8%), WHR(75.8%), HAL(75.9%), TRGP(74.9%)",70.6,1745274,69.36072289156627
2,7,7,55,0.011,0.005,False,3,10,306773,68.1,2219.63,1.07,332,"WDC(69.8%), STX(70.7%), TER(70.1%), MU(68.1%), KLAC(71.2%), LRCX(69.0%), AMD(67.8%), JBL(71.8%), PWR(71.0%), WBD(69.0%)",85895,68.2,500.47,1.08,297,"URI(75.4%), WHR(79.4%), ULTA(76.6%), NDSN(71.4%), L(75.9%), GD(73.2%), SBUX(72.6%), IQV(73.4%), CRL(75.3%), TFX(69.0%)",72.0,2210704,69.35590361445783
2,8,7,55,0.011,0.005,False,3,10,298654,68.1,2199.82,1.07,339,"TER(70.6%), WDC(70.1%), STX(71.3%), MU(67.5%), KLAC(71.5%), LRCX(69.4%), AMD(68.1%), PWR(71.6%), JBL(71.7%), APA(69.9%)",86179,68.1,397.97,1.07,295,"URI(74.3%), EOG(78.2%), PWR(75.1%), CRL(77.9%), WHR(78.1%), L(75.0%), NDSN(71.4%), NUE(75.3%), KIM(75.8%), TFX(70.0%)",71.1,1976259,69.32698795180723
2,7,7,55,0.011,0.005,False,3,20,298196,68.1,2199.4,1.07,324,"WDC(69.8%), STX(70.7%), TER(70.1%), MU(68.1%), KLAC(71.2%), LRCX(69.0%), AMD(67.8%), JBL(71.8%), PWR(71.0%), WBD(69.0%)",83728,68.2,496.97,1.08,290,"URI(75.4%), WHR(79.4%), ULTA(76.6%), NDSN(71.4%), L(75.9%), GD(73.2%), SBUX(72.6%), IQV(73.4%), CRL(75.3%), TFX(69.0%)",71.9,2145901,69.3221686746988
2,8,9,55,0.011,0.005,False,3,20,298829,68.1,2199.35,1.07,327,"WDC(70.2%), STX(70.8%), TER(70.2%), AMD(68.1%), LRCX(69.7%), PWR(71.8%), APA(70.1%), KLAC(70.4%), INTC(68.1%), MU(67.3%)",83722,68.1,381.88,1.07,289,"SLB(78.1%), FANG(76.8%), NDSN(70.2%), L(75.2%), GEV(73.9%), WDC(74.2%), REG(75.2%), CSX(74.4%), URI(70.8%), TXT(76.1%)",72.0,2314697,69.31734939759036
2,8,5,60,0.011,0.005,False,3,10,309492,68.0,2217.46,1.07,348,"WDC(70.4%), STX(71.2%), TER(70.0%), MU(67.8%), AMD(68.1%), LRCX(69.1%), JBL(71.7%), KLAC(70.8%), PWR(71.1%), APA(69.9%)",85642,68.0,404.99,1.07,291,"TFX(74.1%), CRL(78.4%), L(76.1%), WHR(78.1%), KIM(77.0%), NDSN(71.9%), URI(70.2%), MHK(76.2%), EOG(74.7%), VTRS(75.7%)",72.3,2383678,69.30626506024097
2,8,9,55,0.011,0.005,False,3,10,307483,68.0,2211.6,1.07,334,"WDC(70.2%), STX(70.8%), TER(70.2%), AMD(68.1%), LRCX(69.7%), PWR(71.8%), APA(70.1%), KLAC(70.4%), INTC(68.1%), MU(67.3%)",85863,68.0,377.04,1.07,295,"SLB(78.1%), FANG(76.8%), NDSN(70.2%), L(75.2%), GEV(73.9%), WDC(74.2%), REG(75.2%), CSX(74.4%), URI(70.8%), TXT(76.1%)",72.1,2384831,69.30144578313254
